Graph 1 - Already sorted (ascending),,,
Size,Insertion,Selection,Merge,Quick
1K,2997,499500,25995,1501497
5K,14997,12497500,160619,37507497
10K,29997,49995000,346239,150014997
15K,44997,112492500,538595,337522497
20K,59997,199990000,742479,600029997

Graph 2 - Sorted in descending order,,,
Size,Insertion,Selection,Merge,Quick
1K,1000381,500746,26084,741900
5K,25001852,12503544,159699,17813710
10K,100003317,50007310,344543,71636190
15K,225005484,112510842,537832,159237430
20K,400007259,200014470,739010,286734709
